CITY;STATE;populacao;unidades_domesticas_percapita;idosos_percapita;GDP_CAPITA;TV_assinatura/por_residencia;empresa/percapita;carros_percapita;motos/percapita;IDH
Carvalhópolis;MG;3341;0,325651003;0,119425322;156070000;0,107536765;0,02133034;0,275329778;0,158574235;7240
Casa Grande;MG;2244;0,274064171;0,07486631;157560000;0,167479675;0,016024253;0,196188826;0,171935903;6520
Cascalho Rico;MG;2857;0,365768288;0,100455023;195570000;0,024880383;0,02193126;0,193126023;0,071358429;7210
Cataguases;MG;69757;0,32988804;0,137649268;199080000;0,18646793;0,027382755;0,230776448;0,184736426;7510
Catas Altas;MG;4846;0,294469666;0,08316137;487470000;0,352487737;0,020288206;0,302806219;0,065604854;6840
Catas Altas Da Noruega;MG;3462;0,262853842;0,056325823;73380000;0,257142857;0,009309967;0,146221249;0,16237678;6000
Catuji;MG;6708;0,267740012;0,027131783;83770000;0,093541203;0,00932892;0,099759254;0,097652723;5400
Catuti;MG;5102;0,291650333;0,0625245;77560000;0,030913978;0,008328491;0,100910323;0,177997288;6210
Caxambu;MG;21705;0,323427782;0,149366505;139570000;0,214814815;0,031639588;0,311940231;0,109635897;7430
Cedro Do Abaeté;MG;1210;0,367768595;0,148760331;179580000;0,168539326;0,015663644;0,206924979;0,08573784;6780
Central De Minas;MG;6772;0,344063792;0,127288836;116100000;0,069098712;0,02213762;0,157924422;0,217287084;6650
Centralina;MG;10266;0,315897136;0,134424313;179910000;0,065063213;0,013285593;0,125694902;0,076133044;6780
Chalé;MG;5645;0,314968999;0,076705049;130040000;0,071991001;0,013745704;0,184707904;0,303436426;6550
Chapada Do Norte;MG;15189;0,243926526;0,037000461;57890000;0,028879892;0,009064215;0,034278054;0,08310992;5980
Chapada Gaúcha;MG;10805;0,236834799;0,033040259;138270000;0,109026964;0,014051338;0,074966638;0,104717796;6350
Chiador;MG;2785;0,317773788;0,120287253;100710000;0,164971751;0,013223731;0,372051465;0,095425304;7110
Chácara;MG;2792;0,345630372;0,113896848;122140000;0,235233161;0,016927083;0,174153646;0,104492188;6640
Cipotânea;MG;6547;0,278142661;0,07133038;68000000;0,048325096;0,010510949;0,120437956;0,268467153;5790
Claraval;MG;4542;0,31549978;0,052179657;284820000;0,064898814;0,019278607;0,234245439;0,090588723;6980
